ID_PRODUCTOS,CATEGORIA,MARCA,Nombre_Producto,,,,,,,,,,,
42541,CONSTRUCCION,EINHELL,SIERRA DE BANCO 1800 W TC-TS 2025/2 U,,,,,,,,,,,
39284,CONSTRUCCION,FGOUTDOORS,PALA CAMPING DE 24 X 40 CM DEPCAMACC039 FGOUTDOORS- NEGRO,,,,,,,,,,,
28149,CONSTRUCCION,IMACASA,PALA CUADRADA DE 40 3/4” JARPALIMA001 IMACASA- NEGRO,,,,,,,,,,,
41910,CONSTRUCCION,ISOLCORK,REVESTIMIENTO CORCHO PROYECTADO 12 KG VERDE,,,,,,,,,,,
41368,CONSTRUCCION,KETER,CAJA DE HERRAMIENTAS CANTILEVER JOBBOX KETER,,,,,,,,,,,
43741,CONSTRUCCION,KOXIS,CAJA HERRAMIENTAS 100 PCS,,,,,,,,,,,
38881,CONSTRUCCION,SDS POWER,PLACA COMPACTADORA UNIDIRECCIONAL SDS-2150,,,,,,,,,,,
41851,CONSTRUCCION,TECNODELIV,TURBOCALEFACTOR DIESEL PARAFINA 20KW EXTERIOR,,,,,,,,,,,
41914,CONSTRUCCION,TOTAL,TALADRO INALÁMBRICO PERCUTOR 3/8 (10MM) M/METÁLICO 20V TOTAL,,,,,,,,,,,
42347,CONSTRUCCION,WORX,BANCO TRABAJO PLEGABLE CAPACIDAD 136 KGS,,,,,,,,,,,
39395,DECO BAÑO,FANALOZA,ONE PIECE NEW MONZA BLANCO 30 CM,,,,,,,,,,,
41759,DECO BAÑO,MARIENBERG,BANDA STRETCH (CAJA DE 100 UDS). PACK DE 4 UDS,,,,,,,,,,,
41629,DECO BAÑO,STRETTO,RECEPTÁCULO DE DUCHA ACRÍLICO 130 X 70 X 14 CM,,,,,,,,,,,
41630,DECO BAÑO,STRETTO,MONOMANDO TINA DUCHA OZ STRETTO,,,,,,,,,,,
39162,DECO BAÑO,STRETTO,MONOMANDO LAVAPLATOS TAFF STRETTO,,,,,,,,,,,
38241,DECO BAÑO,FANALOZA,COMBINACIÓN LAVAPLATOS ERGO STRETTO,,,,,,,,,,,
37175,DECO BAÑO,STRETTO,MONOMANDO LAVATORIO FIORENZO STRETTO,,,,,,,,,,,
42376,ILUMINACION,GENERICO,PANEL LED INDOOR GROW CRECIMIENTO 3 EN 1 POTENCIA 1200W,,,,,,,,,,,
43063,ILUMINACION,WANT,LAMPARA COLGANTE SOQUETE DECORATIVO VINTAGE SOGA CAÑAMO E27,,,,,,,,,,,
42048,ILUMINACION,WANT,AMPOLLETA LED SMART BRIGHT GU-10 5W,,,,,,,,,,,
39501,ILUMINACION,YU.UZ,AMPOLLETA DE 4W FILAMENTO E14 LUZ FRIA PACK 10 UNIDADES,,,,,,,,,,,
41862,JARDIN,DECOGREEN,CUADRO VERDE NATURAL / JARDÍN VERTICAL,,,,,,,,,,,
37674,JARDIN,HUERTOS ALMA,PALA VERDE HERRAMIENTA DE JARDÍN,,,,,,,,,,,
